Gene_Name	CKDdb_num_of_studies	CKDdb_Disease	GOA_Kidney_Research_Priority	tub_Exp_num_of_eQTLs	tub_Pr_of_no_eQTL	tub_FDR	glom_Exp_num_of_eQTLs	glom_Pr_of_no_eQTL	glom_FDR
KNG1	39.0	1.0	1	1.07	1.44e-08	6.990000000000001e-10	0.0	0.0	0.0
KNG	33.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LRP2	33.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UMOD	33.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
FGG	32.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRO2061	32.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ANXA2	31.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ANX2	31.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ANX2L4	31.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COL1A2	31.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
GSN	31.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
LCN2	31.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
HNL	31.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NGAL	31.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SPP1	32.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
BNSP	36.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
OPN	31.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
AZGP1	29.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
ZAG	29.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ZNGP1	29.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CD44	29.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LHR	29.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MDU2	29.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GC	31.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COL4A3	28.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
FGA	35.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
KLK1	27.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
KALLIKREIN	27.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ORM1	27.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
AGP1	27.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ORM2	38.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TTR	27.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PALB	27.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TBPA	27.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ANXA1	26.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ANX1	26.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LPC1	26.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	26.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HBA1	26.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HBA-A1	26.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
APOA1	25.0	1.0	0	1.03	9e-06	8.25e-07	0.0	0.0	0.0
A175P	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CD13	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ANPEP	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
APN	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CTSS	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
EGF	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RBP4	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRO2222	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRBP	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COL3A1	24.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
FGB	24.0	1.0	0	1.01	5.08e-16	2.6e-17	1.08	0.000129	1.42e-05
VEGF	24.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VEGF41	24.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VEGFA	24.0	1.0	1	0.0	0.0	0.0	0.9620000000000001	0.0425	0.0078
APOE	23.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
B2M	23.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CD24	23.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CD24A	23.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CHI3L1	23.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
COL6A3	23.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HPX	23.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VCAM1	23.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
L1CAM	26.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VIL2	23.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
EZR	23.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
AIF1	22.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
G1	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IBA1	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ALDOB	22.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
ALDB	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CUBN	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IFCR	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DMD	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DAG1	27.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DQB1	22.0	1.0	0	1.97	2.43e-07	1.46e-08	2.07	1.65e-10	1.0900000000000001e-11
DQB1.SLE	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DQB1/DRB1	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTGDS	22.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PDS	29.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PGDS2	22.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AGRN	21.0	1.0	1	0.0	0.0	0.0	1.01	0.0077599999999999995	0.00126
AGRIN	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CDH1	26.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CDKN1C	21.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
KIP2	24.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COL18A1	21.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
MFP	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HSPB1	21.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
HSP27	23.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HSP28	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LMNA	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LMN1	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SOCS3	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CIS3	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SSI3	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CCL5	20.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
D17S136E	20.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SCYA5	20.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COL6A1	20.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GATM	20.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AGAT	20.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HRG	20.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
VIM	20.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AHSG	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FETUA	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRO2743	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CD14	19.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CTSD	19.0	1.0	0	1.0	0.00481	0.00055	0.0	0.0	0.0
CPSD	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GLB1	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IGM	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SNC73	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IGHA1	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LAPTM5	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LYZ2	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LYZ	24.0	1.0	0	1.02	0.00101	8.48e-05	1.05	0.0367	0.00665
LYZS	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPS12	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
S100A8	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CAGA	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CFAG	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNC	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HXB	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TPM1	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TMSA	25.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UGT1A1	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UGT1	21.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
A2M	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PZP	29.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ABP1	18.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
AOC1	18.0	1.0	1	2.1	8.33e-10	5.7000000000000003e-11	0.0	0.0	0.0
AT3	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SERPINC1	18.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PRO0309	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COL4A1	18.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
DOCK6	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DST	18.0	1.0	0	1.01	0.013000000000000001	0.00158	0.0	0.0	0.0
BPAG1	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DMH	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ENO1	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ENO1L1	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MBPB1	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FXYD2	18.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
ATP1C	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ATP1G1	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GPNMB	18.0	1.0	1	1.15	0.0136	0.0016899999999999999	1.5	3.2e-05	2.55e-06
HGFIN	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NMB	23.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HSP90B1	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GRP94	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TRA1	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MARCKS	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MACS	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRKCSL	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PDLIM5	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ENH	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
L9	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AFM	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AMACR	17.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
ANXA4	17.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PIG28	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ANX4	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
C4A	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CO4	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CPAMD2	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CD36	17.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
GP3B	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GP4	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CTSB	17.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
FBLN1	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PP213	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HBEGF	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DTR	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DTS	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HSPG2	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IGH	40.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HUVH8BVH	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SCFV	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VH1	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IGHG1	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ITIH4	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS3	17.0	1.0	0	1.06	0.00828	0.000951	0.0	0.0	0.0
LRG1	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LRG	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LRHG	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MCAM	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MUC18	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ME1	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MME	17.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
EPN	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SERPINA3	17.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
AACT	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GIG24	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SOD1	17.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
TNFAIP6	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TSG6	17.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA13	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AMY2	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
APOA4	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
C1QB	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CALD1	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CAD	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CDM	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CASP1	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
IL1BC	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IL1BCE	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CDH2	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CDHN	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NCAD	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CDH6	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CYBB	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NOX2	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DPP4	16.0	1.0	1	1.02	3.04e-10	2.34e-11	0.0	0.0	0.0
CD26	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HEXA	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HPGD	16.0	1.0	1	0.0	0.0	0.0	1.06	1.17e-06	1.13e-07
PGDH	19.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PGDH1	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IGFBP5	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
IBP5	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IGHG3	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LTBP2	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LTBP-2	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LTBP3	18.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MSN	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
NAGLU	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UFHSD1	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UFHSD2	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PI3	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
WAP3	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
WFDC14	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PLEK	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
P47	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
S100A9	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CAGB	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MRP14	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SMC3	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
BAM	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
BMH	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SOD2	16.0	1.0	0	0.9890000000000001	0.0558	0.00896	0.0	0.0	0.0
STAT1	16.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
VTN	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AMY1	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
BCAM	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LU	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MSK19	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
C1QG	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CA12	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COMT	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DCAMKL1	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DCLK1	15.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
DCDC3A	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DNAJC13	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RME-8	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
EFEMP1	15.0	1.0	0	0.991	0.0192	0.00237	0.0	0.0	0.0
FBLN3	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FBNL	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FBP	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FBP1	15.0	1.0	1	1.02	0.0346	0.004529999999999999	0.0	0.0	0.0
FGFR2AT-I	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TK25	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
BEK	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GGT1	15.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
GGT	15.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
GGTP	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HBB	30.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
BETA-GLOBIN	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HL14	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS1	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HLBP14	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HSPA5	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GRP78	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IDS	15.0	1.0	0	0.0	0.0	0.0	0.973	0.0499	0.00965
SIDS	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
KRT7	15.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SCL	23.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
KRT8	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CYK8	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS8	15.0	1.0	0	1.23	2.21e-06	1.72e-07	0.0	0.0	0.0
LOX	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MGAM	15.0	1.0	0	1.84	0.0261	0.00331	0.0	0.0	0.0
MGA	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MGAML	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NPHS1	15.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
NPHN	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PAH	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PC	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTGER3	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
EP3E	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
EP3-V	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
REG1A	15.0	1.0	1	1.03	0.00329	0.000335	0.0	0.0	0.0
PSPS	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PSPS1	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
S100A6	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CACY	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SERPINA6	15.0	1.0	0	1.02	0.0028399999999999996	0.000295	0.0	0.0	0.0
CBG	16.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SOD3	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
THY1	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TIMP1	15.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
TIMP	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TIMP-1	15.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ACTB	14.0	1.0	1	1.12	8.32e-05	6.900000000000001e-06	0.0	0.0	0.0
PS1TP5BP1	14.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ACTG1	14.0	1.0	1	1.04	4.970000000000001e-05	4.06e-06	0.0	0.0	0.0
ACTG	14.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ACTN1	14.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
ACY1	14.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
C1RL	14.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
C1RL1	14.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
C1RLP	14.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CD163	14.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
M130	14.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CD52	14.0	1.0	0	0.0	0.0	0.0	0.985	0.0262	0.00474
