Gene_Name	Experimental_seed_genes_overlap	Inferred_seed_genes_overlap	known_gene	GTEx_kidney_TPM_expression	GTEx_kidney_Expression_Rank	ProteinAtlas_gene_expr_levels	ProteinAtlas_RNA_expression_TMP	GO_renal	GO_kidney	GO_nephro	GO_glomerul	GO_distal tubule	CKD-example_GWAS_hits	CKD-example_GWAS_max_P_VALUE	CKD-example_GWAS_min_P_VALUE	CKD-example_GWAS_max_OR	CKD-example_GWAS_min_OR	CKD-example_GWAS_tissue_trait_flag	MGI_mouse_knockout_feature
AAMDC	0.14285714285714285	0.0	0.0	6.053999999999999	8185.0	Medium	49.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AAMP	0.06666666666666667	0.0	0.0	67.46	830.0	Medium	59.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AANAT	0.0	0.0	0.0	0.1531	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AAR2	0.08	0.0	0.0	14.85	4618.0	0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AARS	0.043478260869565216	0.032407407407407406	0.0	53.94	1146.0	Medium	50.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AARS2	0.0	0.0	0.0	6.707999999999999	7808.0	High	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AARSD1	0.04819277108433735	0.0	0.0	20.04	3513.0	Low	21.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AASDH	0.0	0.0	0.0	4.271	9371.0	High	7.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AASDHPPT	0.09523809523809523	0.4	0.0	15.44	4478.0	Medium	35.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AASS	0.1111111111111111	0.0	0.0	8.437000000000001	6915.0	High	13.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
AATF	0.03571428571428571	0.04329004329004329	0.0	18.16	3891.0	0	11.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AATK	0.0	0.0	0.0	1.421	18225.0	Low	0.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABAT	0.0	0.0	0.0	14.52	4692.0	High	135.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA1	0.1111111111111111	0.08333333333333333	0.0	3.245	18225.0	Medium	7.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ABCA10	0.0	0.0	0.0	1.193	18225.0	0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA12	0.0	0.0	0.0	0.07281	18225.0	0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA13	0.25	0.0	0.0	0.0287	18225.0	0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA2	0.11764705882352941	0.25	0.0	13.33	5018.0	Medium	5.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA3	0.09090909090909091	0.0	0.0	7.028	7613.0	Medium	3.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA4	0.0	0.0	0.0	0.6538	18225.0	0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA5	0.0	0.0	0.0	7.558	7323.0	High	7.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA6	1.0	0.0	0.0	1.834	18225.0	0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA7	0.0	0.6666666666666666	0.0	6.406000000000001	7968.0	Low	2.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ABCA8	0.0	1.0	0.0	3.728	18225.0	Low	10.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCA9	0.0	0.0	0.0	2.099	18225.0	0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB1	0.0	0.0	0.0	9.093	6599.0	Low	37.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB10	0.3076923076923077	0.0	0.0	4.2989999999999995	9349.0	0	10.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB11	0.07142857142857142	0.0	0.0	0.0	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB4	0.0	0.16666666666666666	0.0	0.1829	18225.0	Not_detected	0.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB5	0.0	0.0	0.0	0.0044659999999999995	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB6	0.1	0.0	0.0	19.81	3567.0	Medium	6.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB7	0.07142857142857142	0.0	0.0	10.63	5912.0	Medium	15.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB8	0.1111111111111111	0.0	0.0	11.99	5420.0	Medium	7.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCB9	0.6666666666666666	0.0	0.0	1.845	18225.0	Medium	1.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCC1	0.0	0.0	0.0	7.436	7400.0	0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCC10	0.0	0.0	0.0	7.12	7556.0	Medium	4.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCC12	0.0	0.0	0.0	0.0	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCC2	0.3333333333333333	0.0	0.0	5.892	8279.0	Medium	20.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ABCC3	0.3333333333333333	0.028985507246376812	0.0	17.6	4003.0	Medium	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCC4	0.14285714285714285	0.0	0.0	7.162999999999999	7530.0	Not_detected	21.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ABCC5	0.07692307692307693	0.0	0.0	15.88	4383.0	0	18.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCC6	0.14285714285714285	0.0	1.0	6.205	8095.0	0	16.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ABCC8	0.0	0.0	0.0	0.4732	18225.0	Not_detected	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCC9	0.4	0.0	0.0	1.2009999999999998	18225.0	0	8.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCD1	0.0625	0.07142857142857142	0.0	6.454	7941.0	0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCD2	0.2	0.08163265306122448	0.0	0.09816	18225.0	0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCD3	0.07692307692307693	0.034482758620689655	0.0	11.03	5750.0	High	64.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCD4	0.0	0.0	0.0	23.75	3006.0	Medium	5.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCE1	0.07203389830508475	0.02717391304347826	0.0	12.76	5186.0	Medium	24.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCF1	0.05405405405405406	0.09210526315789473	0.0	29.25	2377.0	Medium	4.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCF2	0.0	0.05	0.0	15.8	4399.0	Not_detected	20.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCF3	0.06896551724137931	0.0390625	0.0	34.67	1969.0	High	20.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCG1	0.4	0.0196078431372549	0.0	6.1579999999999995	8124.0	Medium	7.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCG2	0.0	0.06060606060606061	0.0	1.4680000000000002	18225.0	Not_detected	4.1	0.0	0.0	0.0	0.0	0.0	4.0	9e-09	5e-33	1.84	0.02265	1.0	1.0
ABCG4	0.0	0.0	0.0	0.2099	18225.0	0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCG5	0.25	0.0	1.0	0.08756	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABCG8	0.3333333333333333	0.0	1.0	0.03193	18225.0	0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD1	0.0	0.0	0.0	1.084	18225.0	0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD10	0.07692307692307693	0.05555555555555555	0.0	20.02	3515.0	High	51.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD11	0.06666666666666667	0.0	0.0	42.45	1544.0	Medium	8.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ABHD12	0.375	0.0	0.0	27.96	2502.0	0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD12B	0.0	0.0	0.0	0.1747	18225.0	0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD14A	0.0	0.16666666666666666	0.0	20.0	3522.0	0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD14B	0.0	0.0	0.0	62.08	944.0	High	78.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD16A	0.0	0.0	0.0	24.26	2940.0	Low	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD17A	0.058823529411764705	0.0	0.0	19.17	3681.0	0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD17B	0.25	0.0	0.0	6.586	7876.0	0	14.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD17C	0.0	0.0	0.0	6.746	7782.0	0	15.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD18	0.0	0.0	0.0			High	5.5	0.0	0.0	0.0	0.0	0.0							0.0
ABHD2	0.0	0.0	0.0	11.04	5749.0	Low	23.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD3	0.0	0.0	0.0	7.696000000000001	7252.0	Medium	15.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD4	0.0	0.0	0.0	38.51	1727.0	0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD5	0.0	0.0	0.0	7.029	7612.0	High	19.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABHD6	0.25	0.0	0.0	6.367999999999999	7991.0	0	33.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABI1	0.05434782608695652	0.1282051282051282	0.0	18.45	3821.0	Medium	36.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABI2	0.04054054054054054	0.0	0.0	6.75	7779.0	Not_detected	22.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ABI3	0.08108108108108109	0.0	0.0	6.392	7974.0	Low	5.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABI3BP	0.0	0.0	0.0	2.915	18225.0	0	15.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABL1	0.05993690851735016	0.04225352112676056	0.0	21.56	3278.0	Medium	21.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABL2	0.09615384615384616	0.0	0.0	2.53	18225.0	0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABLIM1	0.09836065573770492	0.14814814814814814	0.0	35.62	1895.0	Medium	56.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABLIM2	0.0	0.18181818181818182	0.0	5.551	8508.0	0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABLIM3	0.0	0.18181818181818182	0.0	13.46	4973.0	High	8.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABO	0.0	0.0	0.0			0	2.7	0.0	0.0	0.0	0.0	0.0							0.0
ABR	0.06666666666666667	0.045454545454545456	0.0	13.51	4950.0	Medium	1.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABRA	0.0	0.0	0.0	0.04225	18225.0	0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABRACL	0.4	0.0	0.0	25.67	2768.0	Medium	45.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABT1	0.08695652173913043	0.029411764705882353	0.0	10.64	5904.0	0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABTB1	0.0	0.08333333333333333	0.0	23.03	3086.0	0	7.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ABTB2	0.0	0.0	0.0	11.29	5652.0	Low	6.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAA1	0.1	0.0	0.0	73.52	738.0	Medium	209.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAA2	0.15384615384615385	0.14705882352941177	0.0	114.7	415.0	High	373.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACACA	0.045454545454545456	0.0761904761904762	0.0	3.8289999999999997	18225.0	High	4.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACACB	0.14285714285714285	0.0	0.0	13.98	4836.0	Low	12.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAD10	0.16666666666666666	0.0	0.0	17.75	3973.0	0	21.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAD11	0.043478260869565216	0.0	0.0	0.0	18225.0	Medium	35.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAD8	0.11764705882352941	0.0	0.0	20.71	3412.0	High	31.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ACAD9	0.024390243902439025	0.0	0.0	17.87	3949.0	High	15.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACADL	0.25	0.0	0.0	12.19	5361.0	Medium	24.1	0.0	0.0	0.0	0.0	0.0	1.0	1e-35	1e-35	0.45799799999999996	0.45799799999999996	1.0	1.0
ACADM	0.05263157894736842	0.05714285714285714	0.0	43.21	1514.0	High	328.0	0.0	0.0	0.0	0.0	0.0	1.0	1e-12	1e-12	0.297101	0.297101	1.0	0.0
ACADS	0.0	0.0	0.0	46.64	1370.0	High	20.6	0.0	0.0	0.0	0.0	0.0	4.0	4e-27	3e-40	0.54364	0.41705699999999996	1.0	1.0
ACADSB	0.25	0.0	0.0	21.83	3237.0	High	93.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACADVL	0.02857142857142857	0.17777777777777778	0.0	398.2	76.0	Medium	173.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAN	0.0	0.03125	0.0	0.2773	18225.0	Not_detected	0.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAP1	0.13333333333333333	0.0	0.0	2.926	18225.0	Medium	3.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAP2	0.0	0.25	0.0	4.7669999999999995	9005.0	Medium	10.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAP3	0.0	0.0	0.0	27.93	2508.0	Medium	3.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAT1	0.0625	0.05232558139534884	0.0	62.31	937.0	High	534.2	1.0	1.0	1.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACAT2	0.08333333333333333	0.05263157894736842	0.0	9.338	6505.0	Medium	10.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACBD3	0.0625	0.25	0.0	12.42	5287.0	0	21.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ACBD4	0.0	0.0	0.0	18.14	3895.0	High	14.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACBD5	0.0	0.2	0.0	14.94	4594.0	High	40.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACBD6	0.16666666666666666	0.0	0.0	13.93	4849.0	Medium	12.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACCS	0.3333333333333333	0.0	0.0	14.27	4759.0	Medium	5.2	0.0	0.0	0.0	0.0	0.0	1.0	4e-09	4e-09	1.136	1.136	1.0	0.0
ACD	0.08333333333333333	0.17391304347826086	0.0	13.48	4966.0	Medium	3.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ACE	0.2222222222222222	0.25	0.0	3.069	18225.0	High	11.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ACE2	0.0	0.0	0.0	7.09	7572.0	High	94.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
ACER3	0.0	0.08695652173913043	0.0	3.4939999999999998	18225.0	High	5.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACHE	0.14285714285714285	0.0	0.0	2.405	18225.0	0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACIN1	0.015873015873015872	0.0	0.0	39.88	1648.0	Low	25.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACKR1	0.0	0.0	0.0			Low	1.3	0.0	0.0	0.0	0.0	0.0							0.0
ACKR2	0.0	0.0	0.0	0.3617	18225.0	Low	1.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACKR3	0.0	0.021505376344086023	0.0	6.702000000000001	7814.0	Medium	7.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACKR4	0.0	0.0	0.0	0.5437	18225.0	0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACLY	0.08928571428571429	0.04	0.0	32.78	2091.0	Medium	50.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACMSD	0.0	0.0	0.0	45.66	1406.0	High	137.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACO1	0.0625	0.1111111111111111	0.0	18.96	3718.0	High	92.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACO2	0.058823529411764705	0.05333333333333334	0.0	69.69	789.0	High	147.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOT1	0.16666666666666666	0.0	0.0	6.757000000000001	7769.0	High	26.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOT11	0.0	0.0	0.0	3.575	18225.0	Medium	14.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOT13	0.2222222222222222	0.0	0.0	8.355	6957.0	High	19.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOT2	0.0	0.5	0.0	17.39	4050.0	High	51.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOT7	0.041666666666666664	0.0	0.0	16.14	4327.0	Medium	50.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOT8	0.16666666666666666	0.2	0.0	17.66	3993.0	High	14.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOT9	0.043478260869565216	0.044444444444444446	0.0	10.22	6096.0	Medium	16.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOX1	0.10526315789473684	0.058333333333333334	0.0	13.11	5084.0	Medium	41.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
ACOX2	0.0	0.04411764705882353	0.0	16.46	4264.0	High	42.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
